stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,tts_stop_name
84997,LEC103_84997,"Lecco, Chiuso, Bergamo/Del Sarto",,45.821562,9.419112,,,0,,,,,
85006,LEC104_85006,"Lecco, Chiuso, Bergamo 55",,45.8233,9.4185,,,0,,,,,
85014,LEC105_85014,"Lecco, Chiuso, Bergamo fr. 60",,45.825076,9.417739,,,0,,,,,
85080,LEC106_85080,"Lecco, Maggianico, Bergamo/Puccini",,45.827709,9.417165,,,0,,,,,
85105,LEC107_85105,"Lecco, Maggianico, Bergamo fr. 104",,45.829745,9.416471,,,0,,,,,
85113,LEC108_85113,"Lecco, Maggianico FS, Filiberto/Olivieri",,45.8311,9.415,,,0,,,,,
85123,LEC109_85123,"Lecco, Villa Gomez, Filiberto 61",,45.833739,9.412916,,,0,,,,,
84860,LEC110_84860,"Lecco, Maggianico, Filiberto/Poncione",,45.835106,9.411836,,,0,,,,,
84865,LEC111_84865,"Lecco, Maggianico, Filiberto/Fornaci",,45.838257,9.410991,,,0,,,,,
84874,LEC112_84874,"Lecco, C. Alberto 47, fr. Centro Comm.",,45.8406,9.4094,,,0,,,,,
85127,LEC170_85127,"Lecco, Della Pergola 59",,45.842559,9.407621,,,0,,,,,
86832,LEC303_86832,"Lecco, Cimabue 30",,45.844801,9.408445,,,0,,,,,
84866,LEC179_84866,"Lecco, Tonio da Belledo/fr. Risorgimento",,45.8475,9.4109,,,0,,,,,
85056,LEC135_85056,"Lecco, Eremo/Filandra, Ospedale",,45.85222581772091,9.413633855755439,,,0,,,,,
84868,LEC182_84868,"Lecco, Eremo/fr. Belfiore",,45.853337,9.41286,,,0,,,,,
84871,LEC185_84871,"Lecco, Montegrappa/Dei Bravi",,45.860352368162395,9.407360525131224,,,0,,,,,
84872,LEC186_84872,"Lecco, Olate, Tonale/Cernaia",,45.862515,9.405973,,,0,,,,,
80329,LEC010_80329,"Lecco, Matteotti/fr. Agliati",,45.865773,9.403344,,,0,,,,,
84991,LEC011_84991,"Lecco, S.Giovanni, Monte Santo/Monza",,45.86841,9.403947,,,0,,,,,
84998,LEC123_84998,"Lecco, Monte Santo/fr. XXI Febbraio",,45.870304,9.403064,,,0,,,,,
80370,LEC012_80370,"Lecco, Malavedo, S.Michele Carso/Credee",,45.87431,9.404255,,,0,,,,,
80425,LEC013_80425,"Lecco, Monte S.Gabriele/fr. Quarto",,45.8737,9.4026,,,0,,,,,
80567,LEC126_80567,"Lecco, Monte S.Gabriele fr. 41",,45.874353,9.402371,,,0,,,,,
85001,LEC127_85001,"Lecco, Monte S.Gabriele/Ramello",,45.8775,9.404802,,,0,,,,,
80330,LEC014_80330,"Lecco, Monte Ortigara/Del Porto",,45.879515,9.407369,,,0,,,,,
85003,LEC128_85003,"Lecco, Laorca, Valpozza/Monte Ortigara",,45.8827,9.4099,,,0,,,,,
80498,LEC042_80498,"Lecco, FS, Balicco",,45.85581783139964,9.396538209908165,,,0,,,,,
84861,LEC027_84861,"Lecco, XXI Febbraio/Pozzi",,45.857662795418804,9.39747246990585,,,0,,,,,
84966,LEC121_84966,"Lecco, Don Pozzi, Stadio",,45.858391,9.39842,,,0,,,,,
80402,LEC008_80402,"Lecco, Castello, Pozzi/Matteotti",,45.8612,9.399,,,0,,,,,
80422,LEC009_80422,"Lecco, Matteotti/Bainsizza",,45.8628,9.4005,,,0,,,,,
80328,LEC122_80328,"Lecco, Matteotti/Tonale",,45.86361,9.402408,,,0,,,,,
80398,LEC032_80398,"Lecco, Della Valsassina 16",,45.884574,9.411455,,,0,,,,,
86834,LEC036_86834,"Lecco, Valsassina 40",,45.886231,9.416201,,,0,,,,,
80399,BAL001_80399,"Ballabio, Provinciale/fr. Mazzini",,45.88862,9.42093,,,0,,,,,
86788,BAL101_86788,"Ballabio, Provinciale/Moro",,45.891915,9.423931,,,0,,,,,
